Station;RoundingTrips
Fabre / St-Zotique;508
Stuart / St-Viateur;507
Cartier / Bélanger;505
Lucien L'Allier / St-Jacques;502
Ste-Famille / des Pins;502
Fullum / Marie-Anne;498
Rosemont / Viau;498
Chambord/ Beaubien;495
Boyer / Rosemont;491
Calixa-Lavallée / Sherbrooke;491
Garnier / St-Grégoire;490
St-André / Ontario;490
Berri / Rachel;489
Boyer / Everett;489
René-Lévesque / Papineau;488
Chabot / Beaubien;487
Duke / Brennan;485
de Maisonneuve / Greene;482
Gilford / St-Denis;482
Dorion / Ontario;481
Notre-Dame / St-Gabriel;481
Gare du Ruisseau (Dutrisac / Henri-Bourassa);480
de Maisonneuve / Aylmer (ouest);477
Hamilton / Jolicoeur;475
McTavish / Sherbrooke;475
De la Commune / King;474
Ste-Catherine / Sanguinet;474
21e avenue / St-Joseph Lachine;471
Bloomfield / Ball;469
Sainte-Catherine / Union;469
Gloria / Dollard;468
Benny / Sherbrooke;467
Villeneuve / St-Denis;466
Hillside / Ste-Catherine;464
Parc Benny (Benny / de Monkland);464
Chabot / de Bellechasse;463
Maguire / St-Dominique;462
Roy / St-Denis;457
Drummond / de Maisonneuve;455
de Léry / Sherbrooke;453
HEC (Decelles / Jean-Brillant);452
Louis-Hébert / de Bellechasse;451
de Chambly / de Rouen;449
de l'Hôtel-de-Ville / Roy;449
Davaar / de la Côte-Ste-Catherine;446
Mackay / Sainte-Catherine;446
de l'Hôtel-de-Ville / St-Joseph;445
du Parc-Lafontaine / Rachel;445
Monk / Jacques-Hertel;445
City Councillors / du President-Kennedy;444
Notre-Dame / Liébert;443
Aylmer/ Sainte-Catherine;442
Plessis / Logan;442
de Bullion / St-Joseph;441
William / Robert-Bourassa;440
Parc Angrignon ( Lacroix / des Trinitaires);437
Beurling / Godin;436
Chambord / Jean-Talon;431
Louis-Hémon / Villeray;429
Métro St-Laurent Dépôt ( de Maisonneuve / St-Laurent);426
Métro Jarry (Lajeunesse / Jarry);424
de Lisieux / Jean-Talon;419
St-Rémi / Ste Émilie;419
de Brébeuf / Gilford;415
de Mentana / Gilford;415
de Grosbois / Duchesneau;413
Gare Lachine (Sir George Simpson / 48e avenue);411
Kirkfield / de Chambois;411
Montcalm / de Maisonneuve;411
University / Prince-Arthur;409
de la Rotonde / Jacques-Le Ber;408
St-Joseph Lachine / 21e avenue;407
LaSalle / Crawford;406
Cégep André-Laurendeau (Lapierre);405
Basile-Routhier / Chabanel;404
Parc St-Louis (St-Joseph / 34e avenue);402
des Ormeaux / Notre-Dame;401
des Érables / Laurier;401
Drolet / Laurier;399
de Maisonneuve / Berri;398
Sherbrooke / Vignal;398
St-Dominique / Jean-Talon;397
St-Marc / Ste-Catherine;395
Evans / Clark;392
Parc Courbertin (Valéry / Perrier);391
Maguire / Henri-Julien;390
St-Jacques / St-Laurent;390
Guizot / Clark;389
Elgar / de l'Île-des-Sœurs;388
16e avenue / Jean-Talon;386
Earnscliffe / Queen-Mary;386
Métro Longueuil - Université de Sherbrooke;386
5e avenue / Masson;383
de St-Firmin / Fleury;383
Lacombe / Victoria;383
du Champ-de-Mars / Gosford;382
LaSalle / 37e avenue;382
Parc Henri-Julien (Legendre / Henri-Julien);381
Hutchison/ Van Horne;379
Ernest-Gendreau / du Mont-Royal;378
Atwater / Greene;376
Ottawa / William;376
Travaux publics LaSalle (Cordner / Léger);376
Parc Van Horne (de la Peltrie / de Westbury);374
Robin / 15e rue;374
Guizot / St-Laurent;371
St-Charles / Grant;371
Canning / Notre-Dame;370
Marie-Anne / Papineau;369
Parc Garibaldi (Liénart / Bélanger);368
Jean Langlois / Fullum;367
St-Zotique / Clark;366
Place du Canada (Peel / de la Gauchetière);365
CHSLD Joseph-François-Perrault (St-Michel / Everett);364
Waverly / Van Horne;364
